Comment,Designator,Footprint,LCSC
XC6206P332MR,U2,SOT-23_TOR,
TP4056,U1,SOP8-PP_TPW,
TS-1187A-B-A-B,SW1,TS-1187A-B-A-B_XKB,
10k,R7,RESC1005X40N,
1k,R6,RESC1005X40N,
1k,R5,RESC1005X40N,
1k,R4,RESC1005X40N,
1ohm,R3,RESC1608X55N,
1ohm,R2,RESC1608X55N,
3.6k,R1,RESC1608X55N,
DRV8833PWPR,IC1,SOP65P640X120-16N,
10nF,C7,CAPC1005X55N,
10uF,C6,CAP_CL05_SAM,
1uF,C5,CAPC1005X60N,
1uF,C4,CAPC1005X60N,
2.2uF,C3,CAPC1005X57N,
10uF,C2,CAP_CL05_SAM,
10uF,C1,CAP_CL05_SAM,
